Vil_Code,Vil_Name,Taxon,all,forest,riparian,bamboo,bushfallow,uplandfield,others,Contrl,perc_forest,perc_ripar,perc_bamb,perc_bushf,perc_uplf,perc_oth
609042,B. Phoulouangtai,Bees,0,1,0,0,0,0,0,1,100,0,0,0,0,0
609042,B. Phoulouangtai,Legume,0,1,0,0,0,0,0,1,100,0,0,0,0,0
609042,B. Phoulouangtai,Orchids,0,1,0,0,0,0,0,1,100,0,0,0,0,0
609041,B. Mouangkeo,Tree/Shrub,2250,4,1,0,1,0,0,6,66.6666666666667,16.6666666666667,0,16.6666666666667,0,0
609041,B. Mouangkeo,Bamboo,1770,2,1,1,1,0,0,5,40,20,20,20,0,0
609041,B. Mouangkeo,Mushroom/Funghi,945,14,1,3,2,1,2,23,60.8695652173913,4.34782608695652,13.0434782608696,8.69565217391304,4.34782608695652,8.69565217391304
609041,B. Mouangkeo,Grass,842,1,0,0,2,0,0,3,33.3333333333333,0,0,66.6666666666667,0,0
609041,B. Mouangkeo,Herbs,442,2,0,0,0,1,0,3,66.6666666666667,0,0,0,33.3333333333333,0
609041,B. Mouangkeo,Vines,269,3,1,0,1,0,0,5,60,20,0,20,0,0
609041,B. Mouangkeo,Trees,206,5,0,0,1,0,0,6,83.3333333333333,0,0,16.6666666666667,0,0
609041,B. Mouangkeo,Shrubs,175.5,2,2,0,0,0,0,4,50,50,0,0,0,0
609041,B. Mouangkeo,Legume,143,2,0,0,0,0,0,2,100,0,0,0,0,0
609041,B. Mouangkeo,Cardamom,102,1,1,0,0,0,0,2,50,50,0,0,0,0
609041,B. Mouangkeo,Peas,34,1,0,0,0,0,0,1,100,0,0,0,0,0
609041,B. Mouangkeo,,17,1,0,0,0,0,0,1,100,0,0,0,0,0
609041,B. Mouangkeo,Orchids,0,4,0,0,0,0,4,8,50,0,0,0,0,50
609041,B. Mouangkeo,Palm,0,2,0,0,0,0,0,2,100,0,0,0,0,0
609041,B. Mouangkeo,Rattan,0,1,0,0,0,0,0,1,100,0,0,0,0,0
609040,B. Houaygnor,Mushroom/Funghi,1086.7,13,2,5,6,0,2,28,46.4285714285714,7.14285714285714,17.8571428571429,21.4285714285714,0,7.14285714285714
609040,B. Houaygnor,Bamboo,1061,4,0,0,0,0,0,4,100,0,0,0,0,0
609040,B. Houaygnor,Herbs,504,3,1,0,1,3,4,12,25,8.33333333333333,0,8.33333333333333,25,33.3333333333333
609040,B. Houaygnor,Trees,468,7,2,0,1,0,0,10,70,20,0,10,0,0
609040,B. Houaygnor,Tree/Shrub,385.8,4,3,0,0,0,3,10,40,30,0,0,0,30
609040,B. Houaygnor,Vines,129.8,1,0,0,0,0,4,5,20,0,0,0,0,80
609040,B. Houaygnor,,124,1,0,0,2,0,0,3,33.3333333333333,0,0,66.6666666666667,0,0
609040,B. Houaygnor,Grass,100,0,0,0,1,0,0,1,0,0,0,100,0,0
609040,B. Houaygnor,Palm,57.6,2,0,0,0,0,0,2,100,0,0,0,0,0
609040,B. Houaygnor,Liana,44,1,0,0,0,0,1,2,50,0,0,0,0,50
609040,B. Houaygnor,Cardamom,20,1,0,0,0,0,0,1,100,0,0,0,0,0
609040,B. Houaygnor,Rattan,1.5,1,0,0,0,0,0,1,100,0,0,0,0,0
609040,B. Houaygnor,Orchids,0,5,0,0,0,0,0,5,100,0,0,0,0,0
609039,B. Nasang,Mushroom/Funghi,600,22,0,2,0,0,0,24,91.6666666666667,0,8.33333333333333,0,0,0
609039,B. Nasang,Tree/Shrub,50,3,3,0,2,0,0,8,37.5,37.5,0,25,0,0
609039,B. Nasang,,0,1,0,0,0,0,0,1,100,0,0,0,0,0
609039,B. Nasang,Bamboo,0,3,1,0,0,0,0,4,75,25,0,0,0,0
609039,B. Nasang,Cardamom,0,2,0,0,1,0,0,3,66.6666666666667,0,0,33.3333333333333,0,0
609039,B. Nasang,Grass,0,0,0,0,1,0,0,1,0,0,0,100,0,0
609039,B. Nasang,Herbs,0,0,1,0,3,0,0,4,0,25,0,75,0,0
609039,B. Nasang,Legume,0,2,0,0,0,0,0,2,100,0,0,0,0,0
609039,B. Nasang,Orchids,0,3,0,0,4,0,0,7,42.8571428571429,0,0,57.1428571428571,0,0
609039,B. Nasang,Rhizomes,0,0,0,0,1,0,0,1,0,0,0,100,0,0
609039,B. Nasang,Shrubs,0,2,0,0,0,0,0,2,100,0,0,0,0,0
609039,B. Nasang,Trees,0,8,2,0,1,0,1,12,66.6666666666667,16.6666666666667,0,8.33333333333333,0,8.33333333333333
609039,B. Nasang,Vines,0,1,0,0,4,0,0,5,20,0,0,80,0,0
609038,B. Phonhong,Bamboo,8316,2,3,1,0,0,0,6,33.3333333333333,50,16.6666666666667,0,0,0
609038,B. Phonhong,Tree/Shrub,7058,5,0,0,2,0,0,7,71.4285714285714,0,0,28.5714285714286,0,0
609038,B. Phonhong,Grass,3564,0,0,0,2,0,0,2,0,0,0,100,0,0
609038,B. Phonhong,Trees,3445.2,5,1,0,1,0,0,7,71.4285714285714,14.2857142857143,0,14.2857142857143,0,0
609038,B. Phonhong,Mushroom/Funghi,1326.6,15,1,4,6,0,3,29,51.7241379310345,3.44827586206897,13.7931034482759,20.6896551724138,0,10.3448275862069
609038,B. Phonhong,Legume,132,1,0,0,0,0,0,1,100,0,0,0,0,0
609038,B. Phonhong,Vines,99,2,1,0,1,0,0,4,50,25,0,25,0,0
609038,B. Phonhong,Bees,90,2,0,0,0,0,1,3,66.6666666666667,0,0,0,0,33.3333333333333
609038,B. Phonhong,Herbs,79.2,2,1,0,0,1,0,4,50,25,0,0,25,0
609038,B. Phonhong,Hornet,69,5,1,0,0,0,0,6,83.3333333333333,16.6666666666667,0,0,0,0
609038,B. Phonhong,,66,4,1,2,1,0,1,9,44.4444444444444,11.1111111111111,22.2222222222222,11.1111111111111,0,11.1111111111111
609038,B. Phonhong,Palm,33,1,1,0,1,0,0,3,33.3333333333333,33.3333333333333,0,33.3333333333333,0,0
609038,B. Phonhong,Peas,10,2,2,0,0,0,0,4,50,50,0,0,0,0
